City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Pingliang,CN,2021-01-18 20:37:13,35.5392,106.6861,27.0,85,0,2.28
106,Shakawe,BW,2021-01-18 20:37:13,-18.3667,21.85,70.63,89,100,3.53
107,La Ronge,CA,2021-01-18 20:37:14,55.1001,-105.2842,5.0,85,98,3.44
108,Avarua,CK,2021-01-18 20:37:14,-21.2078,-159.775,86.0,74,40,10.36
109,San Cristobal,VE,2021-01-18 20:37:14,7.7669,-72.225,82.4,65,40,13.8
110,Vestmannaeyjar,IS,2021-01-18 20:37:14,63.4427,-20.2734,35.67,82,14,28.72
111,Verkhnyaya Inta,RU,2021-01-18 20:37:14,65.9811,60.3094,-22.02,86,100,11.59
112,Tongzi,CN,2021-01-18 20:37:15,28.7829,105.0877,41.02,79,0,1.92
113,Tilichiki,RU,2021-01-18 20:37:15,60.4667,166.1,-22.95,85,86,16.55
114,Bredasdorp,ZA,2021-01-18 20:37:16,-34.5322,20.0403,68.0,77,11,9.22
115,Brae,GB,2021-01-18 20:37:17,60.3964,-1.353,42.8,75,75,24.16
116,Preobrazheniye,RU,2021-01-18 20:37:17,42.9019,133.9064,-4.54,78,0,12.33
117,Mlandizi,TZ,2021-01-18 20:37:17,-6.7,38.7333,80.6,83,40,17.27
118,Luba,GQ,2021-01-18 20:37:17,3.4568,8.5547,82.4,100,20,8.05
119,Lebu,CL,2021-01-18 20:37:18,-37.6167,-73.65,62.71,76,0,23.78
120,Moerai,PF,2021-01-18 20:37:18,-22.4333,-151.3333,80.44,75,100,11.97
121,Sisimiut,GL,2021-01-18 20:37:18,66.9395,-53.6735,19.35,83,100,10.56
122,Qasigiannguit,GL,2021-01-18 20:37:18,68.8193,-51.1922,14.0,52,40,4.61
123,Quelimane,MZ,2021-01-18 20:37:19,-17.8786,36.8883,82.4,83,20,2.3
124,Skibbereen,IE,2021-01-18 20:37:19,51.55,-9.2667,48.2,100,75,13.8
125,Sorland,NO,2021-01-18 20:37:20,67.667,12.6934,21.2,93,20,2.3
126,Broome,US,2021-01-18 20:37:20,42.2506,-75.833,34.0,74,90,12.66
127,Sikonge,TZ,2021-01-18 20:37:20,-5.6333,32.7667,68.0,83,20,0.29
128,Cape Town,ZA,2021-01-18 20:36:16,-33.9258,18.4232,69.01,77,0,13.8
129,Vila Velha,BR,2021-01-18 20:37:21,-20.3297,-40.2925,84.2,61,0,13.8
130,Bonthe,SL,2021-01-18 20:37:21,7.5264,-12.505,78.64,83,68,7.81
131,Airai,TL,2021-01-18 20:37:21,-8.9266,125.4092,60.51,100,100,1.57
132,Kaitangata,NZ,2021-01-18 20:37:21,-46.2817,169.8464,55.99,72,100,4.0
133,Raychikhinsk,RU,2021-01-18 20:37:21,49.7838,129.4121,-28.43,81,0,5.12
134,La Union,PE,2021-01-18 20:37:21,-5.4,-80.75,81.46,51,96,12.41
135,Roanoke,US,2021-01-18 20:36:43,37.271,-79.9414,39.2,48,75,13.8
136,Puerto Santander,CO,2021-01-18 20:37:22,8.3636,-72.4063,82.4,65,40,13.8
137,Great Falls,US,2021-01-18 20:32:36,47.5002,-111.3008,39.99,52,90,16.11
138,Pyay,MM,2021-01-18 20:37:22,18.8167,95.2167,65.37,74,4,2.3
139,Saskylakh,RU,2021-01-18 20:37:22,71.9167,114.0833,-33.77,82,100,4.68
140,Kargasok,RU,2021-01-18 20:37:23,59.0556,80.8572,-14.26,88,95,9.08
141,Namibe,AO,2021-01-18 20:37:23,-15.1961,12.1522,73.18,74,89,10.58
142,Cidreira,BR,2021-01-18 20:37:23,-30.1811,-50.2056,73.51,70,10,11.72
143,Clyde River,CA,2021-01-18 20:37:23,70.4692,-68.5914,-0.4,78,75,4.61
144,Tual,ID,2021-01-18 20:37:23,-5.6667,132.75,83.1,77,100,19.04
145,Kodinsk,RU,2021-01-18 20:37:24,58.6881,99.1844,4.26,93,100,4.05
146,Beckley,US,2021-01-18 20:37:24,37.7782,-81.1882,30.0,69,90,11.5
147,Malanje,AO,2021-01-18 20:37:24,-9.5402,16.341,64.63,85,100,3.53
148,Cabo San Lucas,MX,2021-01-18 20:34:09,22.8909,-109.9124,78.01,46,20,8.05
149,Ulverstone,AU,2021-01-18 20:37:24,-41.15,146.1667,48.99,63,83,1.99
150,Ribeira Grande,PT,2021-01-18 20:37:24,38.5167,-28.7,62.6,88,40,21.85
151,Mocuba,MZ,2021-01-18 20:37:25,-16.8392,36.9856,76.84,95,100,2.8
152,Mandalgovi,MN,2021-01-18 20:37:25,45.7625,106.2708,6.57,87,96,3.29
153,Mar Del Plata,AR,2021-01-18 20:34:51,-38.0023,-57.5575,87.8,33,0,18.41
154,Beringovskiy,RU,2021-01-18 20:37:25,63.05,179.3167,-19.61,86,40,12.55
155,San Onofre,CO,2021-01-18 20:33:05,9.7359,-75.5263,83.57,69,65,13.91
156,Ilulissat,GL,2021-01-18 20:37:25,69.2167,-51.1,14.0,52,40,4.61
157,Thinadhoo,MV,2021-01-18 20:37:26,0.5333,72.9333,80.55,62,0,2.01
158,Savannah Bight,HN,2021-01-18 20:37:26,16.45,-85.85,81.0,94,90,6.91
159,Port Lincoln,AU,2021-01-18 20:37:26,-34.7333,135.8667,59.52,82,48,12.91
160,Souillac,MU,2021-01-18 20:37:26,-20.5167,57.5167,78.8,100,75,9.22
161,Pevek,RU,2021-01-18 20:37:26,69.7008,170.3133,-30.5,86,85,5.88
162,Chifeng,CN,2021-01-18 20:37:27,42.2683,118.9636,-11.47,83,18,2.13
163,Victoria,HK,2021-01-18 20:37:27,22.2855,114.1577,57.0,75,74,1.99
164,Bubaque,GW,2021-01-18 20:37:27,11.2833,-15.8333,79.81,60,2,8.68
165,Norman Wells,CA,2021-01-18 20:37:27,65.282,-126.8329,-2.2,84,20,5.75
166,Tezu,IN,2021-01-18 20:37:27,27.9167,96.1667,60.55,74,99,4.52
167,Mecca,SA,2021-01-18 20:32:52,21.4267,39.8261,67.48,47,0,8.19
168,Bilibino,RU,2021-01-18 20:37:28,68.0546,166.4372,-31.11,78,64,0.92
169,Impfondo,CG,2021-01-18 20:37:28,1.6381,18.0667,75.31,72,52,2.98
170,Maketu,NZ,2021-01-18 20:37:28,-37.7667,176.45,64.99,88,10,3.0
171,Vao,NC,2021-01-18 20:37:28,-22.6667,167.4833,78.17,89,89,13.0
172,Pitimbu,BR,2021-01-18 20:37:28,-7.4706,-34.8086,82.4,69,40,12.66
173,Ornskoldsvik,SE,2021-01-18 20:37:29,63.2909,18.7153,-2.2,92,90,4.61
174,Chapais,CA,2021-01-18 20:37:29,49.7834,-74.8492,3.2,72,1,12.66
175,Hoima,UG,2021-01-18 20:36:02,1.4356,31.3436,75.83,46,98,1.5
176,Santa Rosa,PH,2021-01-18 20:32:54,14.3122,121.1114,78.8,78,75,2.3
177,Caernarfon,GB,2021-01-18 20:37:29,53.1413,-4.2702,48.2,93,90,10.36
178,Yulara,AU,2021-01-18 20:37:29,-25.2406,130.9889,69.8,28,38,6.91
179,Vanimo,PG,2021-01-18 20:37:30,-2.6741,141.3028,77.25,83,99,3.87
180,Qaanaaq,GL,2021-01-18 20:37:30,77.484,-69.3632,3.99,84,100,6.49
181,Codrington,AU,2021-01-18 20:37:30,-38.2667,141.9667,55.99,68,58,10.63
182,Humaita,BR,2021-01-18 20:37:31,-7.5061,-63.0208,74.84,97,100,2.28
183,Kovdor,RU,2021-01-18 20:37:31,67.5662,30.4758,6.04,94,99,3.67
184,Los Llanos De Aridane,ES,2021-01-18 20:37:31,28.6585,-17.9182,64.4,68,75,4.61
185,Haverfordwest,GB,2021-01-18 20:37:31,51.8017,-4.9691,48.2,100,90,24.16
186,Shimoda,JP,2021-01-18 20:37:31,34.6667,138.95,34.0,69,0,1.99
187,Kavaratti,IN,2021-01-18 20:37:32,10.5669,72.642,81.19,72,0,3.24
188,Altar,MX,2021-01-18 20:37:32,30.7,-111.8167,77.0,15,0,5.01
189,Poum,NC,2021-01-18 20:37:32,-20.2333,164.0167,82.08,83,99,14.61
190,Gulu,UG,2021-01-18 20:37:32,2.7746,32.299,75.2,45,98,3.98
191,Mount Gambier,AU,2021-01-18 20:37:32,-37.8333,140.7667,55.4,76,90,8.05
192,Axim,GH,2021-01-18 20:33:01,4.8699,-2.2405,79.23,84,34,9.01
193,Hay River,CA,2021-01-18 20:37:32,60.8156,-115.7999,8.6,85,92,2.66
194,Yukhnov,RU,2021-01-18 20:37:33,54.7444,35.2297,-0.06,93,100,1.14
195,Carauari,BR,2021-01-18 20:37:33,-4.8828,-66.8958,88.72,59,72,3.18
196,Isugod,PH,2021-01-18 20:37:33,9.3408,118.1196,77.79,77,99,5.3
197,Beian,NO,2021-01-18 20:37:33,63.6559,9.5683,30.2,86,0,16.11
198,Yambio,SS,2021-01-18 20:37:33,4.5721,28.3955,75.04,29,38,2.84
199,Mahajanga,MG,2021-01-18 20:37:33,-15.7167,46.3167,78.8,89,20,3.44
200,Leningradskiy,RU,2021-01-18 20:37:34,69.3833,178.4167,-24.99,83,97,8.7
201,Cervo,ES,2021-01-18 20:37:34,43.6702,-7.4101,36.0,99,0,1.01
202,Ahipara,NZ,2021-01-18 20:37:34,-35.1667,173.1667,70.14,68,17,11.48
203,Dunedin,NZ,2021-01-18 20:37:34,-45.8742,170.5036,57.99,80,50,3.0
204,Saldanha,ZA,2021-01-18 20:37:34,-33.0117,17.9442,64.4,82,0,11.5
205,Tura,IN,2021-01-18 20:37:34,25.5198,90.2201,58.87,63,0,2.3
206,Batagay,RU,2021-01-18 20:37:35,67.6333,134.6333,-43.6,77,100,0.54
207,Atambua,ID,2021-01-18 20:37:35,-9.1061,124.8925,73.89,90,100,2.62
208,Nueva Helvecia,UY,2021-01-18 20:37:35,-34.3,-57.2333,84.0,26,0,6.24
209,Aswan,EG,2021-01-18 20:37:35,24.0934,32.907,54.99,39,0,8.9
210,Itacoatiara,BR,2021-01-18 20:37:35,-3.1431,-58.4442,82.17,88,94,0.58
211,Muros,ES,2021-01-18 20:37:35,42.7762,-9.0603,48.0,94,0,5.61
212,Yanliang,CN,2021-01-18 20:37:36,34.6592,109.2292,35.01,73,0,2.24
213,Gewane,ET,2021-01-18 20:37:36,10.1664,40.6453,74.64,34,10,5.53
214,Mucurici,BR,2021-01-18 20:37:36,-18.0933,-40.5158,76.12,76,96,9.13
215,Salinas,US,2021-01-18 20:34:03,36.6777,-121.6555,75.2,19,1,13.8
216,Nikolayevka,RU,2021-01-18 20:37:36,53.1257,47.2041,-0.76,92,100,3.94
217,Luganville,VU,2021-01-18 20:37:36,-15.5333,167.1667,84.2,73,89,4.32
218,Tanda,IN,2021-01-18 20:37:37,26.55,82.65,55.96,76,0,3.53
219,Cherskiy,RU,2021-01-18 20:37:37,68.75,161.3,-43.2,79,51,3.44
220,Chadiza,ZM,2021-01-18 20:37:37,-14.0678,32.4392,69.28,93,100,2.01
221,Barcelos,PT,2021-01-18 20:33:56,41.5388,-8.6151,48.0,100,0,3.44
222,Alice Springs,AU,2021-01-18 20:37:37,-23.7,133.8833,60.8,41,0,8.21
223,Imeni Poliny Osipenko,RU,2021-01-18 20:37:37,52.4201,136.4853,-26.36,86,74,3.62
224,Kushima,JP,2021-01-18 20:37:38,31.4583,131.2333,46.4,49,20,11.5
225,Sungaipenuh,ID,2021-01-18 20:37:38,-2.0833,101.3833,60.84,90,98,4.14
226,Olafsvik,IS,2021-01-18 20:37:38,64.8945,-23.7142,32.7,88,3,13.47
227,Svetlyy,RU,2021-01-18 20:37:38,54.675,20.1347,19.4,73,75,8.95
228,Rawson,AR,2021-01-18 20:37:38,-43.3002,-65.1023,70.43,51,0,14.45
229,Port Elizabeth,ZA,2021-01-18 20:36:27,-33.918,25.5701,68.0,88,40,13.8
230,Tiksi,RU,2021-01-18 20:37:39,71.6872,128.8694,-30.44,85,100,4.97
231,Avera,US,2021-01-18 20:37:39,33.194,-82.5271,57.2,26,1,13.8
232,Alofi,NU,2021-01-18 20:37:39,-19.0595,-169.9187,84.2,79,40,8.05
233,Katangli,RU,2021-01-18 20:37:39,51.7102,143.2326,-21.19,86,0,7.7
234,Mahebourg,MU,2021-01-18 20:37:39,-20.4081,57.7,78.8,100,75,9.22
235,Borgarnes,IS,2021-01-18 20:37:40,64.5383,-21.9206,33.8,75,20,13.8
236,Ginda,IN,2021-01-18 20:37:40,30.6945,78.4932,41.83,49,0,5.66
237,Yerbogachen,RU,2021-01-18 20:37:40,61.2767,108.0108,-24.88,85,100,8.39
238,Dicabisagan,PH,2021-01-18 20:37:40,17.0818,122.4157,74.59,85,100,12.93
239,Inhambane,MZ,2021-01-18 20:37:40,-23.865,35.3833,75.2,94,75,17.27
240,Port Hardy,CA,2021-01-18 20:37:40,50.6996,-127.4199,42.8,93,90,3.44
241,Carnot,CF,2021-01-18 20:37:41,4.9409,15.8665,75.22,22,30,4.23
242,Chimbote,PE,2021-01-18 20:34:25,-9.0853,-78.5783,74.88,70,100,10.33
243,Chuy,UY,2021-01-18 20:37:41,-33.6971,-53.4616,69.84,60,0,11.1
244,Tahta,EG,2021-01-18 20:37:42,26.7693,31.5021,53.6,47,0,4.61
245,Veshenskaya,RU,2021-01-18 20:37:42,49.6303,41.7334,4.75,94,96,1.92
246,Fuyu,CN,2021-01-18 20:37:42,45.1833,124.8167,-19.59,81,0,7.2
247,Kununurra,AU,2021-01-18 20:36:12,-15.7667,128.7333,84.2,61,100,9.22
248,Gijon,ES,2021-01-18 20:37:42,43.5357,-5.6615,48.99,88,1,4.88
249,Misratah,LY,2021-01-18 20:35:08,32.3754,15.0925,57.7,69,0,19.15
250,Tabursuq,TN,2021-01-18 20:37:42,36.4569,9.2475,44.6,81,40,4.61
251,Forbes,AU,2021-01-18 20:37:43,-33.3833,148.0167,66.0,55,0,1.01
252,Camacha,PT,2021-01-18 20:37:43,33.0833,-16.3333,55.4,71,0,3.44
253,Yaan,NG,2021-01-18 20:37:43,7.3833,8.5667,82.24,17,51,3.09
254,Aklavik,CA,2021-01-18 20:37:43,68.2191,-135.0107,-2.2,78,82,3.44
255,Tahe,CN,2021-01-18 20:37:43,52.3333,124.7333,-23.78,79,3,3.44
256,Astoria,US,2021-01-18 20:37:43,46.1879,-123.8313,48.99,87,1,4.61
257,Port Hedland,AU,2021-01-18 20:37:44,-20.3167,118.5667,87.8,48,90,6.91
258,Hasaki,JP,2021-01-18 20:37:44,35.7333,140.8333,36.0,80,20,2.3
259,Natal,BR,2021-01-18 20:36:59,-5.795,-35.2094,82.4,65,40,13.8
260,Saint-Augustin,CA,2021-01-18 20:37:44,51.226,-58.6502,30.36,98,100,15.57
261,Berdigestyakh,RU,2021-01-18 20:37:44,62.0989,126.6992,-51.25,76,51,3.29
262,Mayumba,GA,2021-01-18 20:37:44,-3.432,10.6554,78.8,82,100,5.19
263,Coquimbo,CL,2021-01-18 20:34:10,-29.9533,-71.3436,66.2,68,20,12.66
264,Oranjestad,AW,2021-01-18 20:37:44,12.524,-70.027,78.8,83,40,10.36
265,Suntar,RU,2021-01-18 20:37:45,62.1444,117.6319,-37.95,81,100,3.94
266,Rajula,IN,2021-01-18 20:37:45,21.05,71.4333,67.51,40,0,9.55
267,Massakory,TD,2021-01-18 20:37:45,12.996,15.7293,71.06,21,52,14.27
268,Yar-Sale,RU,2021-01-18 20:37:45,66.8333,70.8333,-16.31,87,100,17.29
269,Tuatapere,NZ,2021-01-18 20:37:46,-46.1333,167.6833,51.01,92,100,1.99
270,Manokwari,ID,2021-01-18 20:37:46,-0.8667,134.0833,78.98,73,100,2.59
271,Awjilah,LY,2021-01-18 20:37:46,29.1081,21.2869,51.42,48,15,8.43
272,Marawi,PH,2021-01-18 20:37:46,7.9986,124.2928,75.0,93,100,4.0
273,Dingle,PH,2021-01-18 20:37:46,10.9995,122.6711,73.06,94,100,10.02
274,Nanortalik,GL,2021-01-18 20:37:46,60.1432,-45.2371,27.95,84,100,6.26
275,Nuuk,GL,2021-01-18 20:37:47,64.1835,-51.7216,26.6,54,20,3.44
276,Saint-Leu,RE,2021-01-18 20:37:47,-21.15,55.2833,80.6,83,0,3.44
277,Bibiani,GH,2021-01-18 20:37:47,6.4635,-2.3194,76.37,78,5,2.8
278,Koumac,NC,2021-01-18 20:37:47,-20.5667,164.2833,82.58,74,98,3.8
279,Collie,AU,2021-01-18 20:37:47,-33.3667,116.15,64.99,59,43,4.65
280,Cutro,IT,2021-01-18 20:37:48,39.0353,16.9819,37.4,65,1,5.75
281,Dawson Creek,CA,2021-01-18 20:37:48,55.7666,-120.2362,39.2,41,1,14.97
282,Muisne,EC,2021-01-18 20:37:48,0.6,-80.0333,82.4,83,75,9.22
283,Atar,MR,2021-01-18 20:37:48,20.5169,-13.0499,63.52,24,100,12.75
284,Khani,GE,2021-01-18 20:37:48,41.9563,42.9566,37.4,93,90,6.91
285,Daru,PG,2021-01-18 20:37:49,-9.0763,143.2092,80.08,83,100,1.92
286,Coihaique,CL,2021-01-18 20:37:49,-45.5752,-72.0662,60.8,77,75,8.05
287,Samarai,PG,2021-01-18 20:37:49,-10.6167,150.6667,84.83,77,94,10.98
288,Marienburg,PL,2021-01-18 20:37:49,54.0359,19.0266,10.0,92,99,3.44
289,Anloga,GH,2021-01-18 20:37:49,5.7947,0.8973,82.4,83,20,8.05
290,Vostok,RU,2021-01-18 20:37:50,46.4856,135.8833,-18.09,89,100,4.32
291,Huancabamba,PE,2021-01-18 20:37:50,-5.2386,-79.4506,62.62,82,100,2.75
292,Guane,CU,2021-01-18 20:34:21,22.2025,-84.0875,76.95,56,55,6.46
293,Tocopilla,CL,2021-01-18 20:37:50,-22.092,-70.1979,73.08,44,3,4.18
294,Parangan,PH,2021-01-18 20:37:50,5.0839,119.9383,79.45,85,100,9.08
295,San Cristobal Verapaz,GT,2021-01-18 20:37:50,15.3833,-90.4,66.2,88,75,11.5
