City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Esperance,AU,78.8,clear sky,-33.8667,121.9,Hospitality Esperance
342,Borba,BR,71.58,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
344,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
346,Pauini,BR,72.91,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
347,Kalmunai,LK,79.88,light rain,7.4167,81.8167,VS Villa
349,Sri Aman,MY,80.6,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
350,Thinadhoo,MV,82.45,overcast clouds,0.5333,72.9333,
351,Healesville,AU,82.99,overcast clouds,-37.65,145.5167,Rivendell on Cornelius
352,Neiafu,TO,82.4,light rain,-18.65,-173.9833,Mystic Sands
353,Grand Gaube,MU,82.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
354,Mareeba,AU,84.2,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
357,Lima,PE,73.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
358,Alyangula,AU,80.6,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
359,Kailua,US,78.8,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
360,Padang,ID,86.0,few clouds,-0.9492,100.3543,Mercure Padang
361,Daru,PG,84.11,light rain,-9.0763,143.2092,Daru Lodge
362,Katherine,AU,87.8,overcast clouds,-14.4667,132.2667,Pine Tree Motel
365,Barra Patuca,HN,76.48,clear sky,15.8,-84.2833,
370,Dondo,MZ,77.0,light rain,-19.6094,34.7431,Arco Iris
373,Montepuez,MZ,70.66,overcast clouds,-13.1256,38.9997,Complexo Messalo
374,George Town,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
377,Nabire,ID,85.23,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
381,Gawler,AU,90.0,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
383,Antsohihy,MG,74.28,scattered clouds,-14.8796,47.9875,Hotel de Ville
384,Amapa,BR,71.15,overcast clouds,1.0,-52.0,
388,Harper,LR,77.85,few clouds,4.375,-7.7169,Screensaver
391,Mozarlandia,BR,71.89,light rain,-14.7447,-50.5706,Hotel Santa Mônica
394,Tarakan,ID,80.6,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
395,Lhokseumawe,ID,77.9,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
396,Cururupu,BR,77.14,light rain,-1.8283,-44.8683,Pousada Través'cia
399,Progreso,MX,72.0,clear sky,21.2833,-89.6667,Playa Linda Hotel
400,Luquillo,PR,73.4,few clouds,18.3725,-65.7166,Yunque Mar Beach Hotel
404,Bairiki,KI,77.0,light intensity drizzle,1.3292,172.9752,Tarawa Boutique Hotel
406,Jaru,BR,71.26,overcast clouds,-10.4389,-62.4664,Hotel Paraná
408,Mogadishu,SO,77.09,clear sky,2.0371,45.3438,Hotel Juba
410,Acarau,BR,78.33,overcast clouds,-2.8856,-40.12,castelo pizzaria
411,Iracoubo,GF,75.72,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
415,Aden,YE,74.91,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
421,Ahuimanu,US,78.8,light rain,21.4447,-157.8378,Paradise Bay Resort
422,Madras,IN,77.0,fog,13.0878,80.2785,"Taj Connemara, Chennai"
424,Sapucaia,BR,75.2,scattered clouds,-29.8333,-51.15,Hotel 10 São Leopoldo
426,El Alto,PE,71.83,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
427,Necochea,AR,75.52,light rain,-38.5473,-58.7368,dyd -mar Hotel
428,Cape Coast,GH,78.44,broken clouds,5.1053,-1.2466,Samrit Hotel
435,Meulaboh,ID,81.27,scattered clouds,4.1363,96.1285,Kost Pria
437,Acajutla,SV,80.02,clear sky,13.5928,-89.8275,asi es
440,Riacho De Santana,BR,71.37,clear sky,-13.6092,-42.9389,Apartamento de Kaio.
443,Sao Desiderio,BR,71.85,few clouds,-12.3633,-44.9733,Meu cantinho
446,Buenaventura,CO,73.98,moderate rain,3.8801,-77.0312,Hotel Victoria
449,Uvira,CD,72.16,overcast clouds,-3.4067,29.1458,Hotel Suzana
453,Todos Santos,MX,71.01,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
455,Mana,GF,76.14,overcast clouds,5.6592,-53.7767,LE SAMANA
460,Bitung,ID,87.8,light rain,1.4451,125.1824,K2 Lembeh
461,Rawson,AR,75.72,clear sky,-43.3002,-65.1023,Hosteria Sampedro
463,Male,MV,82.4,broken clouds,4.1748,73.5089,Hotel Octave Maldives
464,Benguela,AO,73.78,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
465,Saint-Joseph,RE,82.4,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
467,Kirakira,SB,85.01,broken clouds,-10.4544,161.9205,SanBiz Lodge
