City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Leh,IN,34.1667,77.5833,14.85,57,100,3.33,overcast clouds
109,Hermanus,ZA,-34.4187,19.2345,66.0,82,0,9.8,clear sky
110,Muhos,FI,64.808,25.9931,12.99,85,90,21.85,heavy snow
111,La Ronge,CA,55.1001,-105.2842,6.8,72,100,14.97,overcast clouds
112,Tiznit,MA,29.5833,-9.5,52.65,76,0,1.28,clear sky
113,Cherskiy,RU,68.75,161.3,-40.07,81,31,2.08,scattered clouds
114,Ohara,JP,35.25,140.3833,53.01,43,20,5.75,few clouds
115,Aranos,NA,-24.1333,19.1167,75.2,60,73,11.27,broken clouds
116,Henties Bay,NA,-22.116,14.2845,68.0,89,84,4.63,broken clouds
117,Chuy,UY,-33.6971,-53.4616,67.75,83,0,9.51,clear sky
118,Upernavik,GL,72.7868,-56.1549,25.45,98,100,10.49,overcast clouds
119,Cayenne,GF,4.9333,-52.3333,73.4,100,0,12.48,clear sky
120,Mataura,NZ,-46.1927,168.8643,61.0,80,81,11.99,broken clouds
121,Kempsey,AU,-31.0833,152.8333,84.0,65,65,5.01,broken clouds
122,Kruisfontein,ZA,-34.0033,24.7314,68.0,92,100,1.01,overcast clouds
123,Bahia Blanca,AR,-38.7196,-62.2724,89.94,15,0,19.93,clear sky
124,Hofn,IS,64.2539,-15.2082,28.49,88,0,24.25,clear sky
125,Poum,NC,-20.2333,164.0167,79.48,76,100,14.12,light rain
126,Norman Wells,CA,65.282,-126.8329,5.0,85,90,4.61,light snow
127,Ribeira Grande,PT,38.5167,-28.7,59.76,73,100,10.09,overcast clouds
128,Bukachacha,RU,52.9833,116.9167,-5.44,82,25,1.7,scattered clouds
129,Vostok,RU,46.4856,135.8833,3.07,83,0,5.48,clear sky
130,Lebu,CL,-37.6167,-73.65,60.94,82,0,17.25,clear sky
131,Mercedes,AR,-34.6515,-59.4307,75.99,71,0,4.0,clear sky
132,San Vicente,AR,-26.6167,-54.1333,65.44,100,58,5.55,broken clouds
133,Vitoria,BR,-20.3194,-40.3378,75.99,88,20,2.3,light rain
134,Bartica,GY,6.4,-58.6167,73.4,100,40,2.3,scattered clouds
135,Faanui,PF,-16.4833,-151.75,81.79,71,36,17.02,scattered clouds
136,Santa Rosa,PH,14.3122,121.1114,82.4,78,90,4.61,moderate rain
137,Chokurdakh,RU,70.6333,147.9167,-42.0,81,44,5.95,scattered clouds
138,Nome,US,64.5011,-165.4064,28.4,86,40,9.22,scattered clouds
139,Sakakah,SA,29.9697,40.2064,35.6,41,0,6.42,clear sky
140,Khatanga,RU,71.9667,102.5,-34.26,83,83,3.96,broken clouds
141,Namibe,AO,-15.1961,12.1522,72.21,77,100,7.45,overcast clouds
142,Souillac,MU,-20.5167,57.5167,80.6,74,20,9.22,few clouds
143,Airai,TL,-8.9266,125.4092,74.68,76,46,3.02,light rain
144,Hamilton,US,39.1834,-84.5333,42.01,52,1,10.36,clear sky
145,Bethel,US,41.3712,-73.414,30.99,74,90,4.07,overcast clouds
146,Gemena,CD,3.25,19.7667,69.42,50,30,1.57,scattered clouds
147,Clyde River,CA,70.4692,-68.5914,-4.0,84,1,3.44,clear sky
148,Jalu,LY,29.0331,21.5482,43.5,62,0,7.16,clear sky
149,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.0,57,9,6.71,clear sky
150,Alofi,NU,-19.0595,-169.9187,86.0,74,75,8.05,light rain
151,Provideniya,RU,64.3833,-173.3,26.6,93,90,17.9,snow
152,Talara,PE,-4.5772,-81.2719,72.28,82,53,13.06,broken clouds
153,Saravan,AM,39.7196,45.6483,5.0,78,0,4.61,clear sky
154,Lorengau,PG,-2.0226,147.2712,85.86,58,100,3.94,overcast clouds
155,Vallenar,CL,-28.5708,-70.7581,63.48,59,0,1.32,clear sky
156,Lata,PT,40.1629,-8.3327,57.99,79,94,28.01,overcast clouds
157,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,40,4.61,scattered clouds
158,Vanimo,PG,-2.6741,141.3028,83.26,73,100,3.89,light rain
159,Bulgan,MN,48.8125,103.5347,16.11,86,12,2.04,few clouds
160,Kodiak,US,57.79,-152.4072,42.8,81,90,16.11,mist
161,Talnakh,RU,69.4865,88.3972,-40.34,77,20,2.66,few clouds
162,Daan,CN,33.0558,106.2958,43.0,70,91,1.7,overcast clouds
163,Catamarca,AR,-28.4696,-65.7852,64.99,74,97,10.0,overcast clouds
164,Bilibino,RU,68.0546,166.4372,-16.2,84,100,4.03,overcast clouds
165,Vila Franca Do Campo,PT,37.7167,-25.4333,54.0,93,20,3.44,few clouds
166,Albion,US,42.2431,-84.753,34.0,69,90,8.05,overcast clouds
167,Kloulklubed,PW,7.0419,134.2556,84.2,79,75,10.36,light rain
168,Paita,PE,-5.0892,-81.1144,72.9,78,57,12.37,broken clouds
169,Tasiilaq,GL,65.6145,-37.6368,12.2,62,75,5.75,broken clouds
170,Saint-Augustin,CA,51.226,-58.6502,14.74,91,100,5.41,overcast clouds
171,Araouane,ML,18.9048,-3.5265,60.73,25,16,12.57,few clouds
172,Unai,BR,-16.3575,-46.9061,67.35,83,1,0.76,clear sky
173,Ravar,IR,31.2656,56.8055,31.93,84,0,3.91,clear sky
174,Barra Do Garcas,BR,-15.89,-52.2567,73.69,79,98,1.12,overcast clouds
175,Hastings,GB,50.8552,0.5729,37.0,84,1,1.99,clear sky
176,Bouar,CF,5.934,15.596,65.21,26,39,6.87,scattered clouds
177,Gat,IL,31.61,34.7642,46.0,74,0,1.01,clear sky
178,Oudtshoorn,ZA,-33.5907,22.2014,66.2,94,75,2.3,broken clouds
179,Buala,SB,-8.145,159.5921,86.05,55,98,9.06,overcast clouds
180,Pantelho,MX,16.9333,-92.55,71.6,78,40,4.61,scattered clouds
181,Aklavik,CA,68.2191,-135.0107,1.4,85,64,4.61,broken clouds
182,Isangel,VU,-19.55,169.2667,80.6,89,90,9.26,light rain
183,Porangatu,BR,-13.4408,-49.1486,72.23,74,40,1.59,scattered clouds
184,Oeiras,BR,-7.0253,-42.1311,72.9,87,100,2.1,overcast clouds
185,Mildura,AU,-34.2,142.15,95.0,6,52,9.22,broken clouds
186,Lasa,IT,46.6166,10.7002,33.01,93,75,3.44,snow
187,Ejura,GH,7.3856,-1.3562,73.17,86,87,1.83,overcast clouds
188,Borovskoy,KZ,53.8,64.15,-7.02,91,99,5.66,overcast clouds
189,Tabou,CI,4.423,-7.3528,77.92,87,4,6.89,clear sky
190,Te Anau,NZ,-45.4167,167.7167,61.92,59,59,7.47,moderate rain
191,Urla,TR,38.3229,26.764,46.4,93,40,1.14,scattered clouds
192,Georgetown,MY,5.4112,100.3354,82.4,74,20,3.44,few clouds
193,Kampot,KH,10.6167,104.1833,84.2,51,20,4.61,few clouds
194,Jequie,BR,-13.8575,-40.0836,66.22,89,85,2.1,overcast clouds
195,Pingliang,CN,35.5392,106.6861,37.99,64,11,4.0,few clouds
196,Esmeraldas,BR,-19.7625,-44.3139,71.6,64,0,6.91,clear sky
197,Bengkulu,ID,-3.8004,102.2655,83.61,65,98,7.76,overcast clouds
198,Nuuk,GL,64.1835,-51.7216,23.0,80,20,3.44,few clouds
199,Bathsheba,BB,13.2167,-59.5167,78.8,73,40,14.97,scattered clouds
200,Ancud,CL,-41.8697,-73.8203,63.0,88,0,1.14,clear sky
201,Kuroishi,JP,40.6389,140.5922,42.01,93,75,10.36,broken clouds
202,Ballina,AU,-28.8667,153.5667,81.0,57,21,12.66,few clouds
203,Jacqueville,CI,5.2052,-4.4146,78.8,94,20,3.44,few clouds
204,Saint-Georges,GD,12.0564,-61.7485,78.8,83,20,11.5,light rain
205,Nanortalik,GL,60.1432,-45.2371,23.02,88,0,4.03,clear sky
206,Palmer,US,42.1584,-72.3287,30.99,75,1,4.52,clear sky
207,Castro,BR,-24.7911,-50.0119,63.54,98,100,7.23,overcast clouds
208,Beringovskiy,RU,63.05,179.3167,-1.3,92,100,5.61,overcast clouds
209,Dinguiraye,GN,11.3,-10.7167,63.88,26,98,1.61,overcast clouds
210,Novaya Ladoga,RU,60.1025,32.3019,18.23,97,100,13.71,light snow
211,Nelson Bay,AU,-32.7167,152.15,89.01,42,0,10.36,clear sky
212,Ha Tinh,VN,18.3333,105.9,66.0,87,100,2.42,overcast clouds
213,Narsaq,GL,60.9167,-46.05,21.2,58,0,4.61,clear sky
214,Elizabethton,US,36.3487,-82.2107,39.2,93,90,5.75,overcast clouds
215,Nacala,MZ,-14.5428,40.6728,76.1,86,100,7.58,overcast clouds
216,Rio Grande,BR,-32.035,-52.0986,72.0,84,54,3.0,broken clouds
217,Deep River,CA,46.1001,-77.4995,30.2,80,90,2.3,overcast clouds
218,Bardiyah,LY,31.7561,25.0865,51.69,62,22,2.77,few clouds
219,Angoche,MZ,-16.2325,39.9086,76.3,86,100,14.88,light rain
220,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,77,75,5.75,broken clouds
221,Kaitangata,NZ,-46.2817,169.8464,68.0,51,67,8.99,broken clouds
222,Launceston,AU,-41.45,147.1667,75.2,38,75,18.41,broken clouds
223,Arman,RU,59.7,150.1667,-4.59,79,71,5.48,broken clouds
224,Asyut,EG,27.181,31.1837,41.0,87,0,5.75,clear sky
225,Port-Cartier,CA,50.0334,-66.8654,8.6,66,100,6.91,overcast clouds
226,Luderitz,NA,-26.6481,15.1594,68.67,69,18,12.55,few clouds
227,Nemuro,JP,43.3236,145.575,28.4,74,40,3.44,scattered clouds
228,Saskylakh,RU,71.9167,114.0833,-15.74,87,100,10.8,overcast clouds
229,San Quintin,MX,30.4833,-115.95,59.16,81,14,0.78,few clouds
230,Saint-Pierre,RE,-21.3393,55.4781,82.4,74,0,4.61,clear sky
231,Uinskoye,RU,56.8817,56.5813,5.11,94,100,4.36,light snow
232,Yellowknife,CA,62.456,-114.3525,-18.4,76,75,5.75,broken clouds
233,Iqaluit,CA,63.7506,-68.5145,32.0,69,75,23.02,snow
234,Constitucion,CL,-35.3333,-72.4167,58.05,88,16,5.5,few clouds
235,Safranbolu,TR,41.2508,32.6942,24.58,90,38,2.55,scattered clouds
236,Muravlenko,RU,63.7898,74.523,-37.82,82,51,16.6,broken clouds
237,Gusau,NG,12.1628,6.6614,62.69,28,0,15.35,clear sky
238,Viedma,AR,-40.8135,-62.9967,88.0,35,0,7.0,clear sky
239,Collie,AU,-33.3667,116.15,92.68,23,0,5.46,clear sky
240,Oyama,JP,36.3,139.8,57.0,35,20,2.3,few clouds
241,Vestmannaeyjar,IS,63.4427,-20.2734,29.66,89,34,24.54,scattered clouds
242,Itoman,JP,26.1247,127.6694,69.8,94,75,18.41,broken clouds
243,Kemin,KG,42.7846,75.6892,25.36,93,100,4.68,light snow
244,Cidreira,BR,-30.1811,-50.2056,74.25,84,99,17.29,overcast clouds
245,Bilma,NE,18.6853,12.9164,57.99,33,0,8.79,clear sky
246,Iquitos,PE,-3.7481,-73.2472,75.2,94,75,2.3,broken clouds
247,Jining,CN,35.405,116.5814,45.93,57,100,6.13,overcast clouds
248,Fougeres,FR,48.35,-1.2,41.0,87,90,4.61,overcast clouds
249,Cockburn Town,TC,21.4612,-71.1419,75.38,81,65,17.13,broken clouds
250,Gushikawa,JP,26.3544,127.8686,69.8,94,75,18.41,light rain
251,Sao Filipe,CV,14.8961,-24.4956,72.84,71,100,6.91,overcast clouds
252,Vicuna,CL,-30.0319,-70.7081,60.8,82,0,2.3,clear sky
253,Anaconda,US,46.1285,-112.9423,26.6,68,90,3.44,light snow
254,Samarai,PG,-10.6167,150.6667,85.69,69,96,3.74,moderate rain
255,Guerrero Negro,MX,27.9769,-114.0611,60.31,68,0,5.68,clear sky
256,Mar Del Plata,AR,-38.0023,-57.5575,71.01,94,0,6.91,clear sky
257,Carutapera,BR,-1.195,-46.02,78.73,83,100,7.78,overcast clouds
258,Gizo,SB,-8.103,156.8419,85.33,63,23,10.65,few clouds
259,Olafsvik,IS,64.8945,-23.7142,28.76,89,18,26.71,few clouds
260,Sabha,LY,27.0377,14.4283,44.4,55,0,9.08,clear sky
261,Haysville,US,37.5645,-97.3523,46.0,61,20,6.91,few clouds
262,Puerto Ayora,EC,-0.7393,-90.3518,75.99,93,92,3.0,overcast clouds
263,Makakilo City,US,21.3469,-158.0858,78.8,61,1,9.22,clear sky
264,Elko,US,41.0002,-115.5012,37.0,60,90,3.58,overcast clouds
265,Marawi,PH,7.9986,124.2928,82.0,82,81,5.99,broken clouds
266,Lagoa,PT,39.05,-27.9833,58.69,73,100,11.7,overcast clouds
267,Nhulunbuy,AU,-12.2333,136.7667,87.8,66,75,6.91,broken clouds
268,Giporlos,PH,11.12,125.4494,82.78,79,28,7.23,scattered clouds
269,Itaqui,BR,-29.1253,-56.5531,74.01,71,0,13.27,clear sky
270,Megion,RU,61.0296,76.1136,-22.0,76,0,11.18,clear sky
271,Geraldton,AU,-28.7667,114.6,87.8,42,0,12.66,clear sky
272,Boa Vista,BR,2.8197,-60.6733,82.4,61,0,8.05,clear sky
273,Eureka,US,40.8021,-124.1637,46.0,84,19,6.64,few clouds
274,Berdigestyakh,RU,62.0989,126.6992,-51.18,75,58,1.77,broken clouds
275,Caravelas,BR,-17.7125,-39.2481,74.68,83,2,3.44,clear sky
276,Oktyabrskoye,RU,43.0645,44.7417,14.0,85,0,2.24,clear sky
277,Liverpool,GB,53.4106,-2.9779,41.0,87,40,16.11,scattered clouds
278,Alice Springs,AU,-23.7,133.8833,100.4,8,0,12.66,clear sky
279,Zeya,RU,53.75,127.2667,-13.31,79,0,1.77,clear sky
280,Sur,OM,22.5667,59.5289,67.08,53,0,0.31,clear sky
281,Santa Cruz,BO,-17.8,-63.1667,78.8,65,75,3.44,broken clouds
282,Touros,BR,-5.1989,-35.4608,75.2,88,40,3.44,scattered clouds
283,Labuan,MY,5.2767,115.2417,82.4,78,40,3.44,scattered clouds
284,Qaqortoq,GL,60.7167,-46.0333,21.2,58,0,4.61,clear sky
285,Saint-Francois,FR,46.4154,3.9054,51.01,71,0,11.5,clear sky
286,Newport,GB,51.5877,-2.9984,37.99,95,0,6.38,clear sky
287,Loudi,CN,27.7344,111.9944,53.02,71,94,1.48,overcast clouds
288,Zhigansk,RU,66.7697,123.3711,-38.7,80,100,5.97,overcast clouds
289,Morristown,US,36.214,-83.2949,41.0,100,20,6.91,few clouds
290,Kuytun,RU,54.3419,101.5036,-1.23,91,99,7.0,overcast clouds
291,Coquimbo,CL,-29.9533,-71.3436,60.8,82,0,2.3,clear sky
292,Erice,IT,38.037,12.5865,55.99,93,20,11.5,few clouds
293,Ojinaga,MX,29.5667,-104.4167,55.4,94,90,5.75,overcast clouds
294,Yambio,SS,4.5721,28.3955,64.72,32,72,4.23,broken clouds
295,Nenjiang,CN,49.1833,125.2167,-0.89,87,0,5.06,clear sky
296,Lakes Entrance,AU,-37.8811,147.981,79.0,50,100,5.99,overcast clouds
297,Evensk,RU,61.95,159.2333,-2.88,82,99,1.1,overcast clouds
298,Rosamorada,MX,22.1222,-105.2058,69.17,74,93,0.31,overcast clouds
299,Buin,CL,-33.7333,-70.75,66.2,68,0,6.91,clear sky
300,Teya,RU,60.3778,92.6267,-22.88,83,100,3.91,overcast clouds
301,Dalaba,GN,10.7,-12.25,59.7,31,77,3.47,broken clouds
302,Beloha,MG,-25.1667,45.05,78.33,84,73,6.69,light rain
303,Port Blair,IN,11.6667,92.75,79.47,56,4,7.43,clear sky
304,Ixtapa,MX,20.7,-105.2,75.0,83,1,13.8,clear sky
305,Kavieng,PG,-2.5744,150.7967,84.11,62,96,6.49,overcast clouds
306,Mafeteng,LS,-29.823,27.2374,65.23,64,0,6.11,clear sky
307,Pangnirtung,CA,66.1451,-65.7125,23.61,79,98,7.27,overcast clouds
308,Sampit,ID,-2.5333,112.95,87.93,61,100,4.23,moderate rain
309,Broome,US,42.2506,-75.833,33.01,64,90,6.91,snow
310,Saryozek,KZ,44.3583,77.9753,29.39,85,100,5.66,overcast clouds
311,Pallasovka,RU,50.05,46.8833,14.95,97,100,12.97,light snow
312,Yulin,CN,22.6333,110.15,75.49,56,0,1.48,clear sky
313,Paso De Carrasco,UY,-34.8603,-56.0522,72.0,68,0,6.91,clear sky
314,Coihaique,CL,-45.5752,-72.0662,57.2,67,0,3.44,clear sky
315,Atar,MR,20.5169,-13.0499,62.51,24,86,11.74,overcast clouds
